SUBJECT,START DATE,END DATE
REACT 60: Консультация по проекту  190925-wdm,15.4.2026 09:00,15.4.2026 12:15
REACT 61: Консультация по проекту  190925-wdm,16.4.2026 09:00,16.4.2026 12:15
REACT 62: Презентация проекта  190925-wdm,17.4.2026 09:00,17.4.2026 12:15
Vacation  190925-wdm,18.4.2026 00:00,26.4.2026 00:00
Node.JS 1: Core, Modules, Exports and Require  190925-wdm,27.4.2026 09:00,27.4.2026 12:15
Node.JS 2: Практикум 1  190925-wdm,27.4.2026 12:30,27.4.2026 14:00
Docker 1: Основы Docker  190925-wdm,28.4.2026 09:00,28.4.2026 12:15
Algorithms 1: Что такое алгоритмы  190925-wdm,28.4.2026 12:30,28.4.2026 14:00
German: Техникум 14  190925-wdm,28.4.2026 14:30,28.4.2026 16:00
Node.JS 3: Events, EventEmitter  190925-wdm,29.4.2026 09:00,29.4.2026 12:15
Node.JS 4: Практикум 2  190925-wdm,29.4.2026 12:30,29.4.2026 14:00
Node.JS 5: Files, FileSystem  190925-wdm,30.4.2026 09:00,30.4.2026 12:15
Algorithms 2: Big-O обозначение  190925-wdm,30.4.2026 12:30,30.4.2026 14:00
Node.JS 6: Summary session 1  190925-wdm,1.5.2026 09:00,1.5.2026 12:15
Job search 1: Роадмап и подготовка резюме и Cover letter  190925-wdm,1.5.2026 12:30,1.5.2026 14:00
Node.JS 7: 3rd part modules  190925-wdm,4.5.2026 09:00,4.5.2026 12:15
Node.JS 8: Практикум 3  190925-wdm,4.5.2026 12:30,4.5.2026 14:00
Docker 2: Операции с Docker контейнерами  190925-wdm,5.5.2026 09:00,5.5.2026 12:15
Algorithms 3: Рекурсия и итерация  190925-wdm,5.5.2026 12:30,5.5.2026 14:00
German: Техникум 15  190925-wdm,5.5.2026 14:30,5.5.2026 16:00
Node.JS 9: HTTP, WebServer  190925-wdm,6.5.2026 09:00,6.5.2026 12:15
Node.JS 10: Практикум 4  190925-wdm,6.5.2026 12:30,6.5.2026 14:00
Node.JS 11: Express server  190925-wdm,7.5.2026 09:00,7.5.2026 12:15
Algorithms 4: Разделяй и властвуй  190925-wdm,7.5.2026 12:30,7.5.2026 14:00
Node.JS 12: Summary session 2  190925-wdm,8.5.2026 09:00,8.5.2026 12:15
Job search 2: Платформы для поиска вакансий: LinkedIn и Xing  190925-wdm,8.5.2026 12:30,8.5.2026 14:00
Node.JS 13: Sequelize ORM. Введение, создание таблиц и их связей  190925-wdm,11.5.2026 09:00,11.5.2026 12:15
Node.JS 14: Практикум 5  190925-wdm,11.5.2026 12:30,11.5.2026 14:00
Docker 3: Dockerfile. Веб-сервер nginx в docker. БД в Docker  190925-wdm,12.5.2026 09:00,12.5.2026 12:15
Algorithms 5: Сортировка слиянием  190925-wdm,12.5.2026 12:30,12.5.2026 14:00
German: Техникум 16  190925-wdm,12.5.2026 14:30,12.5.2026 16:00
Node.JS 15: Sequalize ORM. CRUD операции  190925-wdm,13.5.2026 09:00,13.5.2026 12:15
Node.JS 16: Практикум 6  190925-wdm,13.5.2026 12:30,13.5.2026 14:00
Node.JS 17: Аутентификация. Авторизация. Учетные записи  190925-wdm,14.5.2026 09:00,14.5.2026 12:15
Algorithms 6: Быстрая сортировка  190925-wdm,14.5.2026 12:30,14.5.2026 14:00
Node.JS 18: Summary session 3  190925-wdm,15.5.2026 09:00,15.5.2026 12:15
Job search 3: Практическое занятие: разбор резюме и Cover letter  190925-wdm,15.5.2026 12:30,15.5.2026 14:00
Node.JS 19: JSON Web Tokens. Middlewares  190925-wdm,18.5.2026 09:00,18.5.2026 12:15
Node.JS 20: Практикум 7  190925-wdm,18.5.2026 12:30,18.5.2026 14:00
Docker 4: Multistage dockerfiles, Docker-compose  190925-wdm,19.5.2026 09:00,19.5.2026 12:15
Algorithms 7: Амортизированный анализ и динамические массивы  190925-wdm,19.5.2026 12:30,19.5.2026 14:00
German: Техникум 17  190925-wdm,19.5.2026 14:30,19.5.2026 16:00
Node.JS 21: Тестирование API сервера. Postman. Создание документов  190925-wdm,20.5.2026 09:00,20.5.2026 12:15
Node.JS 22: Практикум 8  190925-wdm,20.5.2026 12:30,20.5.2026 14:00
Node.JS 23: Express сервер. Создание простого API сервера (MongoDB)  190925-wdm,21.5.2026 09:00,21.5.2026 12:15
Algorithms 8: Стек и очередь  190925-wdm,21.5.2026 14:30,21.5.2026 16:00
Node.JS 24: Summary session 4  190925-wdm,22.5.2026 09:00,22.5.2026 12:15
Job search 4: Подготовка к собеседованию с HR (как подготовить и что почитать, как отвечать на вопросы)   190925-wdm,22.5.2026 12:30,22.5.2026 14:00
Node.JS 25: Mongoose ORM. Введение, создание схем и связей  190925-wdm,25.5.2026 09:00,25.5.2026 12:15
Node.JS 26: Практикум 9  190925-wdm,25.5.2026 12:30,25.5.2026 14:00
Docker 5: Облачные вычисления, AWS Global Infrastructure, Pricing, Billing, and Governance  190925-wdm,26.5.2026 09:00,26.5.2026 12:15
Node.JS 27: mini project 1.1  190925-wdm,26.5.2026 12:30,26.5.2026 14:00
German: Техникум 18  190925-wdm,26.5.2026 14:30,26.5.2026 16:00
Node.JS 28: Mongoose ORM. CRUD операции  190925-wdm,27.5.2026 09:00,27.5.2026 12:15
Node.JS 29: Практикум 10  190925-wdm,27.5.2026 12:30,27.5.2026 14:00
Node.JS 30:Network, Debugging. Socket.io  190925-wdm,28.5.2026 09:00,28.5.2026 12:15
Node.JS 31: mini project 1.2  190925-wdm,28.5.2026 12:30,28.5.2026 14:00
Node.JS 32: Summary session 5  190925-wdm,29.5.2026 09:00,29.5.2026 12:15
Job search 5: Как подготовиться к техническому собеседованию  190925-wdm,29.5.2026 12:30,29.5.2026 14:00
Node.JS 33: Введение в TypeScript  190925-wdm,1.6.2026 09:00,1.6.2026 12:15
Node.JS 34: Практикум 11  190925-wdm,1.6.2026 12:30,1.6.2026 14:00
Docker 6: Exploring AWS. Account and Services overview, AWS CLi, Boto 3  190925-wdm,2.6.2026 09:00,2.6.2026 12:15
Node.JS 35: mini project 2.1  190925-wdm,2.6.2026 12:30,2.6.2026 14:00
German: Техникум 19  190925-wdm,2.6.2026 14:30,2.6.2026 16:00
Node.JS 36: Переменные, константы и типы данных в TypeScript  190925-wdm,3.6.2026 09:00,3.6.2026 12:15
Node.JS 37: Практикум 12  190925-wdm,3.6.2026 12:30,3.6.2026 14:00
Node.JS 38: Комплексные типы данных и интерфейсы в TypeScript  190925-wdm,4.6.2026 09:00,4.6.2026 12:15
Node.JS 39: mini project 2.2  190925-wdm,4.6.2026 12:30,4.6.2026 14:00
Node.JS 40: Summary session 6  190925-wdm,5.6.2026 09:00,5.6.2026 12:15
Job search 6: Практическое занятие: Собсеседование с HR  190925-wdm,5.6.2026 12:30,5.6.2026 14:00
Node.JS 41: Функции и обобщения в TypeScript  190925-wdm,8.6.2026 09:00,8.6.2026 12:15
Node.JS 42: Практикум 13  190925-wdm,8.6.2026 12:30,8.6.2026 14:00
Docker 7: AWS Networking Services: VPC and Subcomponents, Lambda and Storage Services - EBS, S3, RDS  190925-wdm,9.6.2026 09:00,9.6.2026 12:15
Node.JS 43: mini project 3.1  190925-wdm,9.6.2026 12:30,9.6.2026 14:00
German: Техникум 20  190925-wdm,9.6.2026 14:30,9.6.2026 16:00
Node.JS 44: Классы и наследование в TypeScript  190925-wdm,10.6.2026 09:00,10.6.2026 12:15
Node.JS 45: Практикум 14  190925-wdm,10.6.2026 12:30,10.6.2026 14:00
Node.JS 46: Продвинутые возможности классов в TypeScript  190925-wdm,11.6.2026 09:00,11.6.2026 12:15
Node.JS 47: mini project 3.2  190925-wdm,11.6.2026 12:30,11.6.2026 14:00
Node.JS 48: Summary session 7  190925-wdm,12.6.2026 09:00,12.6.2026 12:15
Job search 7: Практическое занятие: Тренировка технического собеседования  190925-wdm,12.6.2026 12:30,12.6.2026 14:00
Node.JS 49: Модули и пространства имен в TypeScript  190925-wdm,15.6.2026 09:00,15.6.2026 12:15
Node.JS 50: Практикум 15  190925-wdm,15.6.2026 12:30,15.6.2026 14:00
Node.JS 51: mini project 4.1  190925-wdm,16.6.2026 12:30,16.6.2026 14:00
German: Тренировка HR собеса 1  190925-wdm,16.6.2026 14:30,16.6.2026 16:00
Node.JS 52: Асинхронное программирование с помощью Async/Await в TypeScript  190925-wdm,17.6.2026 09:00,17.6.2026 12:15
Node.JS 53: Практикум 16  190925-wdm,17.6.2026 12:30,17.6.2026 14:00
Node.JS 54: Разработка серверного приложения на базе Express с использованием TypeScript  190925-wdm,18.6.2026 09:00,18.6.2026 12:15
Node.JS 55: mini project 4.2  190925-wdm,18.6.2026 12:30,18.6.2026 14:00
German: Тренировка тех собеса 1  190925-wdm,18.6.2026 14:30,18.6.2026 16:00
Node.JS 56: Summary session 8  190925-wdm,19.6.2026 09:00,19.6.2026 12:15
Vacation  190925-wdm,20.6.2026 00:00,28.6.2026 00:00
Project 1: Онбординг: Финальный проект  190925-wdm,29.6.2026 09:00,29.6.2026 12:15
Project 2: Консультация: финальный проект  190925-wdm,30.6.2026 09:00,30.6.2026 12:15
German: Тренировка HR собеса 2  190925-wdm,30.6.2026 14:30,30.6.2026 16:00
Project 4: Консультация: финальный проект  190925-wdm,1.7.2026 09:00,1.7.2026 12:15
Project 3: Консультация: финальный проект  190925-wdm,2.7.2026 09:00,2.7.2026 12:15
German: Тренировка тех собеса 2  190925-wdm,2.7.2026 14:30,2.7.2026 16:00
Project 6: Консультация: финальный проект  190925-wdm,3.7.2026 09:00,3.7.2026 12:15
Project 7: Консультация: финальный проект  190925-wdm,6.7.2026 09:00,6.7.2026 12:15
Project 5: Консультация: финальный проект  190925-wdm,7.7.2026 09:00,7.7.2026 12:15
German: Тренировка HR собеса 3  190925-wdm,7.7.2026 14:30,7.7.2026 16:00
Project 8: Консультация: финальный проект  190925-wdm,8.7.2026 09:00,8.7.2026 12:15
Project 9: Консультация: финальный проект  190925-wdm,9.7.2026 09:00,9.7.2026 12:15
German: Тренировка тех собеса 3  190925-wdm,9.7.2026 14:30,9.7.2026 16:00
Project 10: Консультация: финальный проект  190925-wdm,13.7.2026 09:00,13.7.2026 12:15
Project 11: Консультация: финальный проект  190925-wdm,14.7.2026 09:00,14.7.2026 12:15
German: Подготовка к защите финального проекта на немецком  190925-wdm,14.7.2026 14:30,14.7.2026 16:00
Docker 8: Консультация по проекту (докеризация)  190925-wdm,15.7.2026 09:00,15.7.2026 12:15
Docker 9: Консультация по проекту (докеризация)  190925-wdm,16.7.2026 09:00,16.7.2026 12:15
Project 12: Защита финального проекта  190925-wdm,16.7.2026 09:00,16.7.2026 12:15
German: Защита финального проекта на немецком  190925-wdm,17.7.2026 14:30,17.7.2026 16:00
Каникулы  190925-wdm,20.12.2025 00:00,4.1.2026 00:00
Front-end 6: Summary Session 2 Bekov Astemir 190925-wdm,6.10.2025 14:30,6.10.2025 16:00
